Comments,Year,ID Number,Name,Name UD,Illustration,CEFR level,Definition in Russian,Definition in English,Definition in Norwegian,Example 1,Example 2,Example 3,Example 4,Example 5,Morphology,Synt. function of construction,Synt. function of anchor,Synt. structure of anchor,Part of speech of anchor,SemType1,SemSubType1,SemType2,SemSubType2,SemType3,SemSubType3,SemType4,SemSubType4,Semantic role,Communicative type (only for Clause and Biclausal),Usage label,Anchor words,Common fillers,Comment,STRUCTURE in UD,Actionality,Actuality,Additive,Addressee,Apprehension,Assessment,Attitude,Calculation,Caritive,Causation,Cause,Comitative,Comparison,Condition,Concession,Consequence,Degree of accuracy,Degree of intensity,Discourse structure,Epistemic modality (Degree of certainty),Exceptive,Exclusive,Inclusive,Instrument,Manner,Measure,Mirative,Non-existence,Non-Standard Subject,Options,Phase of action,Pluractionality,Possession,Prohibition,Purpose,Quantification,Reaction to the previous discourse,Request,Result,Root modality,Routine,Salient property,Source of information,Source of opinion,Spatial expression,Subset,Taxis,Temporal expression,Temporary characteristics,Timeline,Threat,Volition
,,1042,"Cl, зато Cl","Cl, зато Cl","Мы опоздали на самолет, зато теперь есть дополнительный день отдыха.",,,,,,,,,,,Biclausal,Biclausal / Conj,Conj,,Comparison,Contrast,Concession,Compensation,,,,,,Assertive,NA,,,,,,,,,,,,,,,,,Contrast,,Compensation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1043,"захоти PronPers Verb-Inf, Cl","захоти PronPers V-Inf, Cl","Захоти он рискнуть, прыгнул бы с парашютом.",,,,,,,,,,,,Biclausal,,,Condition,Counterfactual,,,,,,,,Assertive,Obsolete,,,,,,,,,,,,,,,,,,Unspecified,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1045,зачем PronPers так (VP)?,зачем PronPers так (VP)?,Зачем он так? Хорошо же разговаривали.,,,,,,,,,,,,Clause,,,Assessment,Negative,Reaction to the previous discourse,,Attitude,Disapproval,,,,Interrogative / Exclamatory,Colloquial,,,,,,,,,,Negative,Disapproval,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unspecified,,,,,,,,,,,,,,,
,,1047,знать-Prs.1 PronPers-1 NP-Acc!,знать-Pres.1 PronPers-1 NP-Acc!,Знаю я этих недовольных!,,,,,,,,,,,,Clause,,,Attitude,Confidence about knowledge ,,,,,,,,Exclamatory,Colloquial,,,,,,,,,,,Confidence about knowledge ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1048,"беда Cop, что Cl","беда Cop, что Cl","Беда, что он не пришёл.",,,,,,,,,,,,Matrix,,,Attitude,Regret,,,,,,,,Assertive/Exclamatory,Colloquial,,,,,,,,,,,Regret,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1049,(NP-Dat) и без NP-Gen хватать NP-Gen,(NP-Dat) и без NP-Gen хватать NP-Gen,Мне без этого хватает проблем!,,,,,,,,,,,,Clause,,,Attitude,Dissatisfaction,Temporary characteristics,Sircumstances,,,,,,Assertive/Exclamatory,Colloquial,,,,,,,,,,,Dissatisfaction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sircumstances,,,
,,1050,(NP-Dat) и без NP-Gen Cop тошно,(NP-Dat) и без NP-Gen Cop тошно,Ему и без увольнения тошно.,,,,,,,,,,,,Clause,,,Attitude,Dissatisfaction,Temporary characteristics,Emotional state,,,,,,Assertive/Exclamatory,Colloquial,,,,,,,,,,,Dissatisfaction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Emotional state,,,
,,1051,и в самом деле XP,и в самом деле XP,Я и в самом деле ухожу.,,,,,,,,,,,,Clause,,,Discourse structure,Emphasis,,,,,,,,Assertive,NA,,,,,,,,,,,,,,,,,,,,,,,Emphasis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1053,"(Cl) для того, чтобы Cl","(Cl) для того, чтобы Cl","Мы долго обсуждали с ним план для того, чтобы не возникло проблем.",,,,,,,,,,,Biclausal,Biclausal,Conj,,Purpose,,,,,,,,,Assertive,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unspecified,,,,,,,,,,,,,,,,,
,,1054,(Cl) и все с NP-Ins,(Cl) и все с NP-Ins,"Получили платья, и все с браком.",,,,,,,,,,,Clause,Clause,,,Salient property,Property assignment,Quantification,Universal,,,,,,Assertive,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Universal,,,,,,Property assignment,,,,,,,,,,
,,1055,(и) зачем бы NP-Nom стать-Pst Verb-Inf?,(и) зачем бы NP-Nom стать-Past V-Inf?,И зачем бы Вася стал петь?,,,,,,,,,,,Clause,Clause,Adv,,Cause,,Purpose,,,,,,,Interrogative / Exclamatory,NA,,,,,,,,,,,,,,,Unspecified,,,,,,,,,,,,,,,,,,,,,,,,Unspecified,,,,,,,,,,,,,,,,,
,,1057,"и надо же Cop, чтобы Cl","и надо же Cop, чтобы Cl","И надо же, чтобы он именно в тот день опоздал!",,,,,,,,,,,,Clause,,,Mirative,,,,,,,,,Assertive/Exclamatory,Colloquial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unspecified,,,,,,,,,,,,,,,,,,,,,,,,,
,,1058,и не надоело NP-Dat VP-Inf?!,и не надоело NP-Dat VP-Inf?!,И не надоело Наташе жаловаться?,,,,,,,,,,,,Clause,,,Attitude,Disapproval,Assessment,Negative,,,,,,Interrogative / Exclamatory,Colloquial,,,,,,,,,,Negative,Disapproval,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1059,и не стыдно NP-Dat VP-Inf?!,и не стыдно NP-Dat VP-Inf?!,И не стыдно тебе так себя вести?,,,,,,,,,,,,Clause,,,Attitude,Disapproval,Assessment,Negative,,,,,,Interrogative / Exclamatory,Colloquial,,,,,,,,,,Negative,Disapproval,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1060,"(и) раз NP-Nom не возражать, Cl","(и) раз NP-Nom не возражать, Cl","И раз Костя не возражает, устроим вечеринку у него дома.",,,,,,,,,,,Biclausal,Biclausal,Conj; Verb,,Condition,,Cause,,Root modality,Permission,,,,Assertive,NA,,,,,,,,,,,,,,,Unspecified,,,Unspecified,,,,,,,,,,,,,,,,,,,,,,,,,,Permission,,,,,,,,,,,,
,,1061,"NP-Nom и сам знать, что Cl","NP-Nom и сам знать, что Cl","Паша и сам знает, что виноват.",,,,,,,,,,,,Matrix,,,Attitude,Confidence about knowledge ,Discourse structure,Emphasis,,,,,,,NA,,,,,,,,,,,Confidence about knowledge ,,,,,,,,,,,,Emphasis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1063,"(как) только (на NP-Acc) Verb-Pfv.Pst, как/так и Cl","(как) только (на NP-Acc) V-Perf.Past, как/так и Cl","Только на минуточку присела, как сразу уснула.",,,,,,,,,,,,Biclausal,,,Taxis,Subsequent action,Consequence,,,,,,,Assertive,Colloquial,,,,,,,,,,,,,,,,,,,,Unspecified,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Subsequent action,,,,,
,,1064,NP-Dat не составить труда VP-Inf,NP-Dat не составить труда VP-Inf,Ему труда не составит написать еще одно письмо.,,,,,,,,,,,Verb pattern,Verb pattern,,,Assessment,Positive,,,,,,,,,Colloquial,,,,,,,,,,Positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1065,и NP-Nom тоже XP,и NP-Nom тоже XP,И Вася тоже придёт.,,,,,,,,,,,,Assertive,,,Quantification,Additive,Discourse structure,Emphasis,,,,,,,NA,,,,,,,Unspecified,,,,,,,,,,,,,,,,Emphasis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1068,и что PronPers как маленький!,и что PronPers как маленький!,И что ты как маленький!,,,,,,,,,,,,Clause,,,Attitude,Disapproval,Assessment,Negative,,,,,,Exclamatory,Colloquial,,,,,,,,,,Negative,Disapproval,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1069,иди лучше VP,иди лучше VP,Иди лучше отдохни.,,,,,,,,,,,,Clause,,,Causation,Direct,,,,,,,,Assertive/Exclamatory,Colloquial,,,,,,,,,,,,,,Direct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1070,VP из NP-Gen,VP из NP-Gen,Он пришёл из вежливости.,,,,,,,,,,,Adv,Adv,Simple prep,,Cause,,,,,,,,,,NA,,,,,,,,,,,,,,,Unspecified,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1071,VP из/изо NP-Gen в NP-Acc,VP из/изо NP-Gen в NP-Acc,Из года в год мы возвращались в это место.,,,,,,,,,,,Adv,Adv,Simplex prep,,Time,Time period,Phase of action,Continuative,,,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Continuative,,,,,,,,,,,,,,,,,Time period,,,,
,,1072,VP из NP-Gen VP-Inf,VP из NP-Gen VP-Inf,Он сделал это из желания понравиться.,,,,,,,,,,,Adv,Adv,Simple prep,,Cause,,,,,,,,,,NA,,,,,,,,,,,,,,,Unspecified,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1073,"что ни день/год, то XP","что ни день/год, то XP","Что ни день, то грозы.",,,,,,,,,,,Adv,Adv,Conj; Negation,,Time,Time period,Phase of action,Continuative,Pluractionality,Frequentative,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Continuative,Frequentative,,,,,,,,,,,,,,,,Time period,,,,
,,1074,VP из NP-Gen NP-Gen,VP из NP-Gen NP-Gen,из жажды мести,,,,,,,,,,,Adv,Adv,Simple prep,,Cause,,,,,,,,,,NA,,,,,,,,,,,,,,,Unspecified,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1075,VP (из расчета) NumCrd NP-Gen на NP-Acc,VP (из расчета) NumCrd NP-Gen на NP-Acc,Выдали воды из расчета 500 мл на человека.,,,,,,,,,,,,Nominal pattern,,,Measure,,Actionality,Distributive,,,,,,,Formal,,,,,Distributive,,,,,,,,,,,,,,,,,,,,,,,,,Unspecified,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1076,VP из рук в руки,VP из рук в руки,Большие деньги переходили из рук в руки.,,,,,,,,,,,Adv,Adv,PP; Simplex prep; Noun,,Manner,,,,,,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unspecified,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1077,NP из среды NP-Gen,NP из среды NP-Gen,Постоянные читатели из среды ученых,,,,,,,,,,,Adj,Nominal pattern,Nominal pattern,,Salient property,Belonging to a class,Subset,,,,,,,,Formal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Belonging to a class,,,,Unspecified,,,,,,
,,1078,VP из угла в угол,VP из угла в угол,Он ходил из угла в угол.,,,,,,,,,,,Adv,Adv,PP; Simplex prep; Noun,,Manner,,,,,,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unspecified,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1079,XP из-за границы,XP из-за границы,Товары из-за границы,,,,,,,,,,,Adj / Adv,Adj / Adv,Nominal pattern,,Salient property,Spatial characteristics                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                ,,,,,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Spatial characteristics                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                ,,,,,,,,,,
,,1080,XP из-за рубежа,XP из-за рубежа,Гости из-за рубежа,,,,,,,,,,,Adj /Adv,Adj / Adv,Nominal pattern,,Salient property,Spatial characteristics                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                ,,,,,,,,,Formal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Spatial characteristics                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                ,,,,,,,,,,
,,1081,(целый-Ins.Pl) NP-Ins.Pl VP,(целый-Ins.Plur) NP-Ins.Plur VP,Он часами смотрел на звёзды.,,,,,,,,,,,Adv,Adv,Noun; Adj,,Time,Time period,Phase of action,Continuative,,,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Continuative,,,,,,,,,,,,,,,,,Time period,,,,
,,1082,"иметь-Imp в виду, Cl","иметь-Imper в виду, Cl","Имей в виду, я молчать не стану!",,,,,,,,,,,,Parenth,,,Threat,,,,,,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unspecified,
,,1083,"именем NP-Gen, Cl!","именем NP-Gen, Cl!","Именем короля, откройте двери!",,,,,,,,,,,,Nominal pattern,,,Source of information,,,,,,,,,,Obsolete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unspecified,,,,,,,,,
,,1084,NP имени NP-Gen,NP имени NP-Gen,Сквер имени Пушкина,,,,,,,,,,,,Nominal pattern,,,Salient property,Naming,,,,,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Naming,,,,,,,,,,
,,1085,NP-Nom иметь (Adj) значение,NP-Nom иметь (Adj) значение,"А какое это имеет значение, ждали эту юную леди или не ждали?",,,,,,,,,,,,Verb pattern,,,Assessment,Positive,,,,,,,,,NA,,,,,,,,,,Positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1086,"иначе говоря, XP","иначе говоря, XP","Смешное потому и смешно, что оно правдиво. Иначе говоря, не всё правдивое смешно, но всё смешное правдиво.",,,,,,,,,,,Parenth,Parenth,Adv; Noun,,Comparison,Similarity,Discourse structure,Clarification,,,,,,,NA,,,,,,,,,,,,,,,,,Similarity,,,,,,Clarification,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1087,"иными/другими словами, XP","иными/другими словами, XP","Иными словами, на каждого мужчину ""от 35 и выше"" приходится почти две женщины соответствующего возраста.",,,,,,,,,,,Parenth,Parenth,Adj; Noun,,Comparison,Similarity,Discourse structure,Clarification,,,,,,,Formal,,,,,,,,,,,,,,,,,Similarity,,,,,,Clarification,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1088,испокон веков VP,испокон веков VP,Испокон веков ткали одежду на этом станке.,,,,,,,,,,,Adv,Adv,Nominal pattern,,Time,Temporal boundary,Phase of action,Continuative,,,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Continuative,,,,,,,,,,,,,,,,,Temporal boundary,,,,
,,1089,VP исходя из NP-Gen,VP исходя из NP-Gen,Стоимость квартиры определена исходя из рыночных цен.,,,,,,,,,,,Adv,Prep,Complex Prep,,Cause,,,,,,,,,,Formal,,,,,,,,,,,,,,,Unspecified,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1090,VP (не) к месту,VP (не) к месту,Ты очень к месту это сказала.,,,,,,,,,,,Adv,Adv,PP,,Temporary characteristics,Appropriateness,Assessment,"Positive, Negative",Manner,,,,,,NA,,,,,,,,,,"Positive, Negative",,,,,,,,,,,,,,,,,,,Unspecified,,,,,,,,,,,,,,,,,,,,,,,,Appropriateness,,,
,,1091,"к несчастью, Cl","к несчастью, Cl","К несчастью, все билеты проданы.",,,,,,,,,,,,Parenth,,,Attitude,Regret,,,,,,,,,NA,,,,,,,,,,,Regret,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1092,"к слову (сказать), Cl","к слову (сказать), Cl","К слову, он тоже окончил этот факультет.",,,,,,,,,,,Parenth,Parenth,,,Discourse structure,Discourse additive,,,,,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,Discourse additive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1093,к тому же Cl,к тому же Cl,К тому же каждый день шёл снег.,,,,,,,,,,,Parenth,Parenth,,,Discourse structure,Discourse additive,,,,,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,Discourse additive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1094,VP к чёртовой матери/бабушке,VP к чёртовой матери/бабушке,Я решила позвонить в Париж и отменить концерт к чёртовой матери.,,,,,,,,,,,Adv,Adv,"PP, simplex preposition",,Routine,Swearing,Attitude,Negative,,,,,,,Colloquial,,,,,,,,,,,Negative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Swearing,,,,,,,,,,,
,,1095,VP к чёрту,VP к чёрту,От новой конструкции все системы и теории постоянно разлетаются к чёрту.,,,,,,,,,,,Adv,Adv,PP; simplex prep,,Routine,Swearing,Attitude,Negative,,,,,,,Colloquial,,,,,,,,,,,Negative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Swearing,,,,,,,,,,,
,,1096,к чёрту NP-Acc!,к чёрту NP-Acc!,– Давайте вызовем полицию. – К чёрту полицию. Что я буду им доказывать!,,,,,,,,,,,Clause,Clause,PP; simplex prep,,Routine,Swearing,Attitude,Negative,,,,,,Exclamatory,Colloquial,,,,,,,,,,,Negative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Swearing,,,,,,,,,,,
,,1097,"к чести NP-Gen (надо VP-Pfv.Inf, что) Cl","к чести NP-Gen (надо VP-Perf.Inf, что) Cl","К чести Аннушки надо сказать, что она была любознательна.",,,,,,,,,,,,Nominal pattern,,,Assessment,Positive,,,,,,,,,Obsolete,,,,,,,,,,Positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1098,NP-Nom стоить десяти NP-Gen,NP-Nom стоить десяти NP-Gen,Один час общения с увлечённым и знающим человеком стоит десяти прочитанных книг.,,,,,,,,,,,,Verb pattern,,,Assessment,Positive,,,,,,,,,NA,,,,,,,,,,Positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1099,"((Я) боюсь,) как бы не VP-Pfv.Pst","((Я) боюсь,) как бы не VP-Perf.Past",Как бы Миша не опоздал!,,,,,,,,,,,,Clause,,,Apprehension,Apprehensive,,,,,,,,Assertive,Colloquial,,,,,,,,,Apprehensive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1100,"как бы то ни было, Cl","как бы то ни было, Cl","Как бы то ни было, перед выпускниками не стоит задача самим зарабатывать на своё образование.",,,,,,,,,,,,,Parenth,,Discourse structure,Summary,Concession,Failed expectation,,,,,,Assertive ,NA,,,,,,,,,,,,,,,,,,,Failed expectation,,,,Summary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1101,как бы NP-Nom хотеть-Pst VP-Inf,как бы NP-Nom хотеть-Past VP-Inf,Как бы он хотел не слышать этого.,,,,,,,,,,,,Clause,,,Volition,,,,,,,,,Assertive,Colloquial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unspecified
,,1102,"как видеть-Prs.2, Cl","как видеть-Pres.2, Cl","Как видите, от учёбы ещё никто не пострадал.",,,,,,,,,,,,Parenth,,,Discourse structure,Clarification,,,,,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,Clarification,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1103,Как PronPers говорить-Prs? XP?,Как Pron говорить-Pres? XP?,Как вы говорите? Коллайдер?,,,,,,,,,,,,Clause,,,Reaction to the previous discourse,Surprise,Mirative,,,,,,,Interrogative,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unspecified,,,,,,,,,,Surprise,,,,,,,,,,,,,,,
,,1104,"как выяснилось, Cl","как выяснилось, Cl","Как выяснилось, половина жителей Парижа никогда не была в Лондоне.",,,,,,,,,,,,Parenth,,,Discourse structure,Clarification,,,,,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,Clarification,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1105,"как говорится, XP","как говорится, XP","Как говорится, будем!",,,,,,,,,,,Parenth,Parenth,,,Discourse structure,Clarification,,,,,,,,,Colloquial,,,,,,,,,,,,,,,,,,,,,,,Clarification,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1107,как же без NP-Gen (VP)?,как же без NP-Gen (VP)?,Как же без Маши?,,,,,,,,,,,,Clause,,,Reaction to the previous discourse,Surprise,Mirative,,,,,,,Interrogative,Colloquial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unspecified,,,,,,,,,,Surprise,,,,,,,,,,,,,,,
,,1108,как же NP-Nom не VP-Pst?,как же NP-Nom не VP-Past?,Как же он не знал? Мы только вчера это обсуждали.,,,,,,,,,,,,Clause,,,Reaction to the previous discourse,Surprise,Mirative,,,,,,,Interrogative,Colloquial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unspecified,,,,,,,,,,Surprise,,,,,,,,,,,,,,,
,,1109,как же NP-Dat Cop не VP-Inf?,как же NP-Dat Cop не VP-Inf?,Как же мне не помнить?,,,,,,,,,,,,Clause,,,Reaction to the previous discourse,Surprise,Attitude,No choice,,,,,,Interrogative,Colloquial,,,,,,,,,,,No choice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Surprise,,,,,,,,,,,,,,,
,,1110,"как знать, Cl","как знать, Cl","Как знать, может ещё встретимся.",,,,,,,,,,,Parenth,Parenth,,,Epistemic modality,Low degree of certainty,,,,,,,,,Colloquial,,,,,,,,,,,,,,,,,,,,,,,,Low degree of certainty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1112,как минимум XP,как минимум XP,Нас будет как минимум трое.,,,,,,,,,,,,Parenth,,,Measure,,,,,,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unspecified,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1113,NP-Nom Cop как на ладони,NP-Nom Cop как на ладони,Город как на ладони.,,,,,,,,,,,Clause,Praedic,Praedic,,Comparison,Similarity,,,,,,,,,Colloquial,,,,,,,,,,,,,,,,,Similarity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1114,как назло VP,как назло VP,Он как назло именно сегодня опоздал.,,,,,,,,,,,,Adv,,,Assessment,Negative,,,,,,,,,Colloquial,,,,,,,,,,Negative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1115,как нарочно VP,как нарочно VP,Он как нарочно забыл предупредить о своем отсутствии.,,,,,,,,,,,,Adv,,,Assessment,Negative,,,,,,,,,Colloquial,,,,,,,,,,Negative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1116,Как Cop не Verb-Inf!,Как Cop не V-Inf!,Как не знать!,,,,,,,,,,,,Clause,,,Reaction to the previous discourse,,,,,,,,,Exclamatory,Colloquial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unspecified,,,,,,,,,,,,,,,
,,1117,VP как попало ,VP как попало ,Он писал как попало.,,,,,,,,,,,Adv,Adv,Conj; Verb,,Manner,,,,,,,,,,Colloquial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unspecified,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1118,"как правило, Cl","как правило, Cl","Как правило, история людей ничему не учит.",,,,,,,,,,,,Parenth,,,Pluractionality,Habitual,Salient property,Unspecified,,,,,,,Formal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Habitual,,,,,,,,,,Unspecified,,,,,,,,,,
,,1119,NP-Nom (NP-Dat) Cop как раз,NP-Nom (NP-Dat) Cop как раз,Платье было как раз.,,,,,,,,,,,,Praedic,,,Measure,Size,Degree of accuracy,Exact,,,,,,,NA,,,,,,,,,,,,,,,,,,,,,Exact,,,,,,,,,Size,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1120,"так сказать, XP","так сказать, XP","Это один из тех фильмов, которые, так сказать, на века.",,,,,,,,,,,Parenth,Parenth,,,Discourse structure,Clarification,,,,,,,,,Colloquial,,,,,,,,,,,,,,,,,,,,,,,Clarification,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1121,у NP-Gen язык не поворачиваться сказать,у NP-Gen язык не поворачиваться сказать,У меня язык не поворачивается такое сказать.,,,,,,,,,,,,Clause,,,Attitude,No choice,,,,,,,,Assertive,Colloquial,,,,,,,,,,,No choice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1122,"как NP-Nom Cop Adj-Short, что Cl!","как NP-Nom Cop Adj-Short, что Cl!","Как я рад, что ты вернулась!",,,,,,,,,,,,Matrix,,,Attitude,Emotional attitude,,,,,,,,Exclamatory,Colloquial,,,,,,,,,,,Emotional attitude,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1123,"как ни Pred Cop VP-Inf, (а/но) Cl","как ни Praedic Cop VP-Inf, (а/но) Cl","Как ни приятно отдыхать, но надо возвращаться к работе.",,,,,,,,,,,,Biclausal,,,Concession,Failed expectation,,,,,,,,Assertive,NA,,,,,,,,,,,,,,,,,,,Failed expectation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1124,"как это Pred Cop (с PronPoss стороны), что Cl","как это Praedic Cop (с PronPoss стороны), что Cl","Как это мило с вашей стороны, что вы приехали.",,,,,,,,,,,,Matrtix,,,Attitude,Emotional attitude,,,,,,,,,Colloquial,,,,,,,,,,,Emotional attitude,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1125,Adv-Cmp всего VP,Adv-Cmp всего VP,Меньше всего я хочу сейчас ругаться.,,,,,,,,,,,,Adv,,,Measure,,,,,,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unspecified,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1126,NP-Dat ничего не стоить VP-Inf,NP-Dat ничего не стоить VP-Inf,Ему ничего не стоит написать книгу.,,,,,,,,,,,,Adv,,,Assessment,Positive,Salient property,Capacity for an activity,,,,,,,Colloquial,,,,,,,,,,Positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Capacity for an activity,,,,,,,,,,
,,1127,"право, Cl","право, Cl","Но мне, право, лучше уйти.",,,,,,,,,,,Parenth,Parenth,,,Epistemic modality,High degree of certainty,,,,,,,,,Obsolete,,,,,,,,,,,,,,,,,,,,,,,,High degree of certainty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1129,"Можно не сомневаться, (что) Cl","Можно не сомневаться, (что) Cl","Можно не сомневаться, что он разбогател.",,,,,,,,,,,Parenth,Parenth,,,Epistemic modality,High degree of certainty,,,,,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,High degree of certainty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
