Comments,Year,ID Number,Name,Name UD,Illustration,CEFR level,Definition in Russian,Definition in English,Definition in Norwegian,Example 1,Example 2,Example 3,Example 4,Example 5,Morphology,Synt. function of construction,Synt. function of anchor,Synt. structure of anchor,Part of speech of anchor,SemType1,SemSubType1,SemType2,SemSubType2,SemType3,SemSubType3,SemType4,SemSubType4,Semantic role,Communicative type (only for Clause and Biclausal),Usage label,Anchor words,Common fillers,Comment,STRUCTURE in UD,Actionality,Actuality,Additive,Addressee,Apprehension,Assessment,Attitude,Calculation,Caritive,Causation,Cause,Comitative,Comparison,Condition,Concession,Consequence,Degree of accuracy,Degree of intensity,Discourse structure,Epistemic modality (Degree of certainty),Exceptive,Exclusive,Inclusive,Instrument,Manner,Measure,Mirative,Non-existence,Non-Standard Subject,Options,Phase of action,Pluractionality,Possession,Prohibition,Purpose,Quantification,Reaction to the previous discourse,Request,Result,Root modality,Routine,Salient property,Source of information,Source of opinion,Spatial expression,Subset,Taxis,Temporal expression,Temporary characteristics,Timeline,Threat,Volition
,,616,Cl? ещё бы (Cl)!,Cl? ещё бы (Cl)!,Хочешь чаю? Ещё бы!,,,,,,,,,,,,Clause,,,Reaction to the previous discourse,,Degree of intensity,Booster,,,,,,Exclamatory,Colloquial,,,,,,,,,,,,,,,,,,,,,,Booster,,,,,,,,,,,,,,,,,,,Unspecified,,,,,,,,,,,,,,,
,,617,"Cl, разве что Cl","Cl, разве что Cl","Сегодня не поеду, разве что завтра.",,,,,,,,,,,Adv,Parenth,,,Epistemic modality,Low degree of certainty,,,,,,,,,Colloquial,,,,,,,,,,,,,,,,,,,,,,,,Low degree of certainty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,618,PronInt угодно,PronInt угодно,Вася попросил купить что угодно.,,,,,,,,,,,?,Part,Adv,,Salient property,Unspecified,Quantification,Universal: Free Choice,,,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Universal: Free Choice,,,,,,Unspecified,,,,,,,,,,
,,619,VP ― и будь здоров,VP ― и будь здоров,Миша забрал книгу – и будь здоров.,,,,,,,,,,,,Clause,,,Taxis,Subsequent action,Attitude,Disapproval,Non-existence,Disappear,,,,Assertive,Colloquial,,,,,,,,,,,Disapproval,,,,,,,,,,,,,,,,,,,,,Disappear,,,,,,,,,,,,,,,,,,,Subsequent action,,,,,
,,620,VP без конца,VP без конца,Родители ругались без конца.,,,,,,,,,,,Adv,Adv,PP,,Time,Time period,Phase of action,Continuative,Degree of intensity,Booster,,,,,Colloquial,,,,,,,,,,,,,,,,,,,,,,Booster,,,,,,,,,,,,,Continuative,,,,,,,,,,,,,,,,,Time period,,,,
,,621,VP в качестве NP-Gen,VP в качестве NP-Gen,Она не рассматривала его в качестве конкурента.,,,,,,,,,,,Clause,Conj,Conj,,Salient property,Status,,,,,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Status,,,,,,,,,,
,,622,VP в соответствии с NP-Ins,VP в соответствии с NP-Ins,Он становится новым президентом компании в соответствии с новыми документами.,,,,,,,,,,,Adv,Prep,Complex prep,,Source of information,,Manner,,,,,,,,Formal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unspecified,,,,,,,,,,,,,,,,,,Unspecified,,,,,,,,,
,,623,VP в NumCrd раз-Gen,VP в NumCrd раз-Gen,Число увеличилось в четыре раза.,,,,,,,,,,,,Nominal pattern,,,Measure,,,,,,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unspecified,,,,,,,,,,,,,,,,,,,,,,,,,,
,,624,"(Cl, но) всë-таки/всë ж таки/всë же/всë равно Cl","(Cl, но) все-таки/все ж таки/всë же/все равно Cl","Была плохая погода, но мы все-таки пошли гулять.",,,,,,,,,,,Biclausal,Adv,Adv,,Concession ,Failed expectation,Mirative,,,,,,,,NA,,,,,,,,,,,,,,,,,,,Failed expectation,,,,,,,,,,,,Unspecified,,,,,,,,,,,,,,,,,,,,,,,,,
,,626,VP до конца,VP до конца,Мы сделали работу до конца.,,,,,,,,,,,,Adv,,,Result,subtype Result,,,,,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unspecified,,,,,,,,,,,,,
